card_name,ai_rating,pro_rating,description
Banishing Light,3.9,3.5,This is always great removal because it goes after any nonland permanent very efficiently.
"Beza, the Bounding Spring",4.8,5,"By design, Beza can pull you ahead from behind. If you're at parity you probably still get a couple triggers, and if you're ahead a 4/5 on it's own is still pretty scary."
Brave-Kin Duo,2.2,2,"This is a decent way to repeatedly trigger valiant, though you'd be surprised how often you don't want to spend one mana and tap a creature for this effect."
Brightblade Stoat,4.4,3.5,This has great stats and keywords and White has plenty of ways to enhance it's stats to make it even scarier.
Builder's Talent,3.1,0.5 // 2.5,"It's tough to get enough noncreature nonlands to get this going, but if you can it's a pretty solid buildaround."
Caretaker's Talent,4.4,1.5 // 4.5,"If you're in any token-heavy deck (which usually mean Green-White) this is going to be one of the best cards in your deck, but most White decks won't have enough tokens for this."
Carrot Cake,3.7,2,"So, if you take all the parts together here – you pay 4 mana for 3 life and two 1/1s that scry 1. That’s not horrendous to begin with, and you can pay it for it in installments."
Crumb and Get It,2.8,2.5,"This is a super efficient trick, which has extra value in a format with Valiant."
Dawn's Truce,2.7,0,"This style of card is always too narrow in Limited. It ony does something meaningful in very specific scenarios, and that type of card is a massive liability."
Dewdrop Cure,2.6,2,"Three mana to reanimate two small creatures is a pretty good deal, but how often will you have stuff in the graveyard to get back? Not often enough for this to always make the cut."
Driftgloom Coyote,3.9,4,"Banisher Priest-like creatures are always great, and this one is extra beefy -- and gets beefier if you exile a low power creature. Adding to the board while removing something of your opponent's is simply one of the strongest things you can do."
Essence Channeler,4.4,3,"This has a decent baseline, so it can work alright in any White deck -- since most will have a little life gain, but it'll be really powerful in Black-White."
Feather of Flight,3.5,3,"This is a great aura because it has Flash and it replaces itself up front, while sending your best creature into the air."
Flowerfoot Swordmaster,3,2.5,"This is a really good Valiant trigger when you've got enough Mice, and you're likely to in Red-White."
Harvestrite Host,3.5,3,"The baseline here is solid, but the card gets really insane when you have multiple ways to make multiple rabbits -- and there are ways to do that at Common and Uncommon."
Hop to It,3.9,3.5,"Three bodies for three mana is a nice deal, especially in a format where White wants to go wide and can get extra value out of tokens."
Intrepid Rabbit,3.8,3.5,"4 mana for a 3/2 and a 1/1 is a card you'll play pretty often, and this has the upside of being more flexible than that and having an ETB ability. One you'll get twice when you Offspring."
Jackdaw Savior,4.6,4,"This has reasonable aggressive flying stats and if you have something in your graveyard, your opponent is likely to get 2-for-1'd if they ever deal with it."
Jolly Gerbils,3.8,3,"Many of the gift cards in the set are solid cards when you don't gift, and you have to think about whether or not giving your opponent something is worth the extra effect you're going to get. Jolly Gerbils makes that equation a lot simpler -- you should just always gift, because you're going to come out ahead and get a more powerful version of the card."
Lifecreed Duo,3.2,2.5,"This really enables lifegain strategies in Black/White, while also being good in the White go-wide deck and the blue-white bird deck."
Mabel's Mettle,3.1,2,"This has 2-for-1 upside since it buffs two creatures, and it's also a great way to trigger valiant at instant speed."
Mouse Trapper,2.9,2.5,"Tapping blockers is really strong when you're an aggro deck, and you're likely to be if you're in White."
Nettle Guard,3,2,"This has decent stats that can get a little better if you target it with something, and it gives you some maindeck hate against artifacts and enchantments, too."
Parting Gust,3.3,3,"This can be a nice way to blink one of your creatures, and if you give your opponent a fish, it can be removal too! Giving your opponent a fish does obviously make that significantly worse. While you do remove something, you give your opponent something back so it's not quite a 1-for-1. However, it has an alternate mode and exile is pretty nice removal."
Pileated Provisioner,2,2.5,"This will be putting a +1/+1 counter on something most of the time when it enters, and a 5-mana 3/4 flyer is surprisingly sturdy."
Rabbit Response,1.8,1 // 2.5,"If you're good at going wide, this'll be a solid inclusion in your deck. If you're not, it's pretty bad."
Repel Calamity,4.1,2.5,"This format has fewer big creatures than most, but this does go after power AND toughness, so it'll have a decent number of targets."
Salvation Swan,4.6,4.5,"This can do so many different super powerful things. You can flash it in to help a creature dodge removal, and then give it flying. You can also flash it in to ambush block something while making your best creature a flyer, and the fail case is still a nice flyer that brings something else into the air with it."
Season of the Burrow,4.8,4.5,"Making 5 1/1s is a pretty solid deal for 5, and this has all kinds of additional upside! Giving your oppnoent cards for their permanents isn’t always great, but sometimes you gotta do it – and you can also go after your own stuff with the second mode. The third mode will be useful less often, and you’ll only ever get it once, but when you do it’s gonna feel pretty good. Basically, no matter what mode you choose you get your 5 mana’s worth or more, and the modality is great."
Seasoned Warrenguard,2.6,2.5,This'll be a one mana 3/2 pretty often in Green/White.
Shrike Force,3.9,3,"Even if you never do anything to buff this, you're getting a great creature for three mana, and White has plenty of ways to augment creatures."
Sonar Strike,3.4,2.5,"This'll feel pretty efficient when you have a nice target, especially if you're gaining life. However, even if this can hit attacking, blocking, and tapped creatures, it's inability to get a creature out of the way before it blocks, and the fact it can't deal with things with more than 4 toughness make it too restrictive to be great."
Star Charter,3.8,1.5 // 4,"If you are good at gaining or losing life, this is going to be one of the best cards in your deck. In that kind of deck, the trigger is basically an ETB ability, and you're virtually always going to draw a card off the trigger. But if you can't consistently trigger it, it's a pretty mediocre creature."
Starfall Invocation,4.7,5,"This is a sweeper that reanimates your best creature that got destroyed. That's insane, even if you do have to give your opponent a card to make it happen."
Thistledown Players,2,2,"This is mostly for triggering valiant, but it's pretty mediocre overall."
Valley Questcaller,4.7,4,"This'll buff almost every creature in your deck, and also let you Scry a whole bunch. And it has above rate stats!"
Warren Elder,3.2,2.5,"White is good at going wide, so having a two drop that can buff the whole board is something you're going to be after."
Warren Warleader,5,5,"You want to try and Offspring this most of the time, since it means you not only get two bodies -- you get the attack trigger twice, and your opponent destroying the 4/4 doesn't completely solve the problem either!"
Wax-Wane Witness,2.5,3,"This has surprisingly beefy stats for a Common, and will often be able to attack as a 3/4 or larger."
Whiskervale Forerunner,4.6,4.5,"This Valiant trigger is nuts and will almost always allow you to put a creature directly on to the battlefield. There are plenty of ways to trigger valiant for free or cheap too, so doing it the turn the Forerunner comes down isn't some pipe dream."
Azure Beastbinder,4.3,4,"This can't be blocked by anything that can kill it, and it's ability to turn creatures into blank 2/2s lasts into your opponent's turn! This can really alter the game in a big way, especially for a two drop."
Bellowing Crier,2,2,This loads your graveyard for threshold and two mana for decent base stats and a loot is solid anyway.
Calamitous Tide,2.4,1,"This doesn't do enough for how much it costs. Bouncing can only give you tempo, and in an era of lots of ETBs it may not even give you that."
Daring Waverider,3,4,"This is usually going to be a 6-mana 4/4 that kills something on ETB. Obviously it takes some set up to get there, but all you have to do is have cast a removal spell at some point in the game, so it's not that much set up."
Dazzling Denial,1.9,2.5,"Two mana counterspells have been solid of late, and the Bird upside is nice."
Dire Downdraft,2.5,3,This trade 1-for-1 pretty efficiently and 2-for-1s are on the menu because it's an instant.
Dour Port-Mage,3.9,3,"If you can get return a cheap creature with an ETB with this, it's going to feel great, and if nothing else it's a mana sink that draws you cards when you're flooding out."
Eddymurk Crab,3.7,1.5 // 3.5,"You need to be a deck with lots of instants and sorceries to make this work, and that's a little frustrating in this set because most of the payoffs for this kind of thing look at noncreature spells more broadly. This'll work in UR and UB a decent chunk of the time and be pretty good, but even in those decks you don't alawys have enough instants and sorceries to feel good about playing this."
"Eluge, the Shoreless Sea",4.1,2.5,"Triple blue is tough in Limited, but if you can cast this it will be a decent size and decrease the cost of your spells. That last part isn't always useful by the mid to late game, though."
Finch Formation,2,2.5,"This is a Wind Drake with lots of upside! Gives something else flying, and in the late game it can send two creatures to the sky."
Gossip's Talent,2.1,1.5,"This doesn't really do enough on it's own, especially for all the mana you sink into it."
Into the Flood Maw,2,2.5,"Cheap spells are extra good in formats with spell triggers, and this is one of those. Plus, Unsummon's a pretty solid card anyway."
Kitnap,4.2,4.5,"Stealing an opposing creature is one of the strongest things you can do in the game, and doing it for 4 mana is great, even if the creature is tapped. Basically, this is an excellent removal spell with massive upside."
"Kitsa, Otterball Elite",4.3,4,"I'm already happy to be playing a two mana 1/3 with Prowess and Vigilance that can tap to loot, and sometimes you'll be able to copy spells with this, which will feel truly insane."
Knightfisher,3.1,3.5,This has imposing stats and in most Blue decks (and especially blue-white) will spit out lots of Fish tokens.
Lightshell Duo,1.8,2.5,"This slots well into spell decks and threshold decks, while sporting some solid stats that you can always threaten to grow."
Long River Lurker,2.5,3,"You almost always have a free unblockable attack when this enters, since the creature blinks when it hits your opponent -- meaning it comes back into play untapped. If you're also triggering an ETB, you're really going to be in business."
Long River's Pull,1.6,2,"Double Blue is rough for a counterspell in Limited, especially one that requires you to 2-for-1 yourself if you want to counter a noncreature spell."
Mind Spiral,1.8,2.5,"You really only want one of these because they don't really add to the board and are kind of clunky, but that first one is pretty nice. If you give your opponent a fish, you can also stun their best creature, increasing your chances of making it to your next turn to take advantage of all those cards."
Mindwhisker,3.4,3,"The stat-line is rough, but it helps you set up threshold and is a powerful threshold payoff itself."
Mockingbird,4.2,4,"This lets you copy your own creatures  or your opponents, although you do need to spend more mana to copy bigger creatures. Still, you're likely to get your mana's worth when you cast this."
Nightwhorl Hermit,1.1,2,"A three mana 1/4 with Vigilance isn't very good, but in the late game this becomes unblockable and hits harder."
Otterball Antics,2.3,2,"While you do get two bodies in the end, the rate here isn't very good."
Pearl of Wisdom,1.7,2.5,"Divination isn't always good in Limited these days, as you need to add to the board. But this will cost two mana reasonably often, and that's a huge upgrade."
Plumecreed Escort,2.9,4,"A two mana 2/1 with Flash and Flying is a playable card, and this can often generate a 2-for-1 by blanking a removal spell."
Portent of Calamity,2.5,1,"This is tough to make work in Limited, since you have to hit a bunch of cards with different types to take full advantage of it. Oftentimes you'll draw like two cards off of this despite spending a lot on it, and you just can't do that."
Run Away Together,1.9,2,"When you can use this to bounce something your opponent doesn't want bounced and bounce something of yours you do want to bounce it feels really good, but it doesn't always line up that way."
Season of Weaving,3.9,2.5,"This is a great trick for Blue decks, especially when you get spell triggers while blanking a removal spell."
Shore Up,2,5,"If you're behind, you can make a token copy of your best creature and then bounce everything else. If you're at parity or ahead, you can make two token copies of your best creature and then draw a card. Either way, you're very likely to win the game."
Shoreline Looter,3.3,3,"This lets you rip through your deck while loading your graveyard, and once you have threshold it becomes a card advantage engine."
Skyskipper Duo,1.9,2,"A 5-mana 3/3 Flyer isn't very good, but if you have ETBs to abuse, it could be worse."
Spellgyre,2,2,Neither option is very good here on it's own -- it's just too much mana for these effects. But the modality is enough to make it playable.
Splash Lasher,3.4,3,"This is pretty good whether you Offspring or not, since it adds a solid body to the board while temporarily removing something. It's a great ETB to abuse in Blue-Green, too."
Splash Portal,1.1,2,"This is definitely at it's best in Blue-Green or Blue-Red. Blue-Green because you're more likely to have ETBs and Blue-Red because it's a spell that replaces itself. But, it's passable in the other Blue decks too."
Stormchaser's Talent,3.9,3.5,"This gives you a passable body up front, and later in the game generate serious value by rebuying an instant or sorcery and then churning out otter tokens."
Sugar Coat,2.8,2.5,"This is removal that doesn't exactly trade 1-for-1 since you leave something behind for your opponent to take advantage of. And if they are playing Black-Green or Black-White, they may even be able to get a full card worth of value out of food. But, it does shut down just about any creature."
Thought Shucker,1.2,2,"This is a pretty bad two drop early, but drawing a card with it late is pretty solid."
Thundertrap Trainer,4.1,3.5,"This will often give you a 2-for-1 in the early game, and later in the game you're likely to draw two cards when you Offspring."
Valley Floodcaller,3.9,3.5,"You'll buff most of your creatures when you cast noncreature spells, the problem is many decks in the format won't have that many of them."
Waterspout Warden,1,2.5,"This will often have Flying, and while it's not quite a staight up three mana 3/2 flyer, it isn't that far either."
Wishing Well,2.5,0,"If you spend mana and a card on this, you're going to lose. That's because you just won't be able to get anything out of it consistently enough. Casting this is like mulliganing, but worse because you paid mana."
Agate-Blade Assassin,2.3,2,"This helps you set up life gain payoffs for Black-white and life loss payoffs for black-red in the early game, but has pretty mediocre stats."
Bandit's Talent,2.9,3,"This is a nice discard spell in the early game, and later in the game it can pressure your opponent and even draw you cards."
Bonebind Orator,3.1,2,"It has passable stats and in the late game it's a way (albeit a costly way) to get something back from the graveyard. A bit awkward alongside Forage, though."
Bonecache Overseer,3.1,1.5 // 3.5,"This is a nice buildaround for the Black/Green deck, which can draw cards with this often enough to generate some serious value."
Coiling Rebirth,4.2,1.5,"5 mana reanimation spells rarely perform well because it's hard to get 5 mana worth of value consistently. The gift part can help you do that, but at the cost of giving a card to your opponent, which doesn't seem great."
Consumed by Greed,3.8,3.5,"This is a solid removal spell as a baseline, and sometimes it'll be worth giving your opponent a card to get a good creature back from your graveyard."
Cruelclaw's Heist,4.1,3.5,"You almost always want to give the gift here, because you get to take the card after they draw -- and being able to cast the card you make them discard is amazing."
Daggerfang Duo,2.5,2,"The stat-line is rough, but it helps you load your graveyard for Black-Green and Blue-Black, and it can trade for anything. That's less valuable on a three drop for sure, but it's something."
Darkstar Augur,4.5,5,"You almost always want to go with the Offspring here. 4 mana for a 2/3 flyer and a 1/1 flyer that draw you a bunch of cards is great! You do need to make sure you don't have a high curve and/or some ways to gain life, but the fact you get these two bodies that draw you cards means even one removal spell isn't going to prevent you from outcarding your opponent."
Diresight,1.5,2,"This can put up to three cards in the graveyard while drawing you a couple cards and you lose some life, so it checks some boxes for various synergies in black, but it's still a card that doesn't add to the board and you can't have too many of those."
Downwind Ambusher,3.8,3.5,"Flashing this in to ambush block something and kill an X/1 is very doable, and it also has the upside of killing damaged creatures sometimes."
Early Winter,2,1.5,"This is the removal spell you use when you're really desperate. It's just too expensive to ever be efficient, even with two modes."
Feed the Cycle,4.2,3.5,"This is Murder at worst, and it's often cheaper thanks to Forage."
Fell,4.3,3.5,"This is super efficient to remove any creature, although being a Sorcery means you aren't going to produce many blowouts."
Glidedive Duo,2.6,2.5,This ETB is surprisingly potent and also very useful for Bat and Lizard decks.
Hazel's Nocturne,3.5,3,"The first copy of this should be valued relatively highly, as it's the kind of card that wins games late. Getting two creatures back at instant speed and draining the opponent 2 life is a big swing, especially when you untap and play the best creature that was in your graveyard."
Huskburster Swarm,2.6,1.5 // 3.5,This is a pretty sweet buildaround for the two graveyard decks in the format. This creature is huge and impossible to block without at best getting 2-for-1'd.
Iridescent Vinelasher,4.4,3,"If you're getting this landfall figure twice it puts your opponent under very real pressure, and it's not a bad way to set up Black-Red cards that pay you off for daming your opponent."
"Maha, Its Feathers Night",5,5,"The Ward means your opponent has to 2-for-1 themselves to deal with Maha, and lowering the toughness of your opponent's creatures makes them much, much worse on attacks and blocks. It also makes Maha's trample more potent."
Moonstone Harbinger,3.1,3,"A three mana 1/3 flying with deathtouch is a passable baseline, and triggering this is fairly easy -- and you're likely to have more bats in play, too."
Nocturnal Hunger,3.9,3,"This is an efficient removal spell. You should almost never give your opponent the food, unless you're in a desperate spot where you can't afford to pay the life."
Osteomancer Adept,4.7,3.5,"If you can get this down once you have a stocked graveyard, you can really go off with it. Tapping it lets you cast as many creaures using forage as you want! You won't always have the graveyard and mana to do that of course, but the ceiling is legit."
Persistent Marshstalker,3.2,2.5,"This will often have high power, and it can just keep coming back by the mid-to-late game, and it's often going to have enough power that your opponent has to block it."
Psychic Whorl,1.9,1.5,"This is Mind Rot with minimal upside, so not usually something you want to run. It can generate a 2-for-1 early, but because you don't add to the board when you do it the impact is pretty small, and in the late game it does even less."
Ravine Raider,2.2,3,"This is a pretty scary one drop. It can get in for lots of damage early, allowing aggro decks to trigger their payoffs for doing damage, and because you can pump it, it really stays relevant all game long."
Rottenmouth Viper,4.9,4.5,"This ETB and attack trigger gets to be a pretty big problem, especially when you can trigger it more than once, and the Viper lets you do that. You get the first trigger no matter what, and if the Viper doesn't get taken down, your opponent is going to have some tough decisions to make when it attacks. And you can even get it into play ahead of schedule sometimes!"
Ruthless Negotiation,2.3,2,"This can generate a 3-for-1 in an ideal world, and it's nice that at a minimum you get to draw a card when you flash it back."
Savor,3.8,3,"This isn't the most efficient removal, but it's solid and Food is an important commodity in this format."
Scales of Shale,2.2,1 // 3.0,"This isn't going to be a good trick if you're usually paying 3 for it, but if you're black/red and can pay one Black for it consistent, it's a super potent combat trick. One that can blank removal and win virtually any combat."
Scavenger's Talent,3.9,1.5,This is probably too slow to really do what it wants you to do. You just can't sink all this mana into it and have the payoff be that you have a difficult-to-use reanimation effect.
Season of Loss,4.6,4,"This can have a Wrath-like effect on some boards -- when you choose the first paw option 5 times, and the other modes on the card allow you to break the symmetry of the edicts."
Sinister Monolith,2.1,2.5,"This is a bit expensive for something that doesn't exactly add to the board, but you do get the first life drain trigger the turn you play it, and it can quickly snowball from there. Being able to cash it in for cards is no small thing, either."
Stargaze,1.9,1,"Sinking a bunch of mana into this draws you a bunch of cards and loads up your graveyard, but I just don't feel like you've got the time to do that in Limited formats these days -- especially when you have to pay life."
Starlit Soothsayer,2,2,"This has almost-passable stats and a mediocre life gain trigger. You can play it, but you're never going to be happy about it."
Starscape Cleric,4,2.5,"Being unable to block is pretty brutal, but it's a fairly aggressive flyer that can bring a friend along, and when you can start triggering those life gain payoffs your opponent will be under some legitimate pressure."
Thornplate Intimidator,2,2.5,"Even withotu Offspring this would be a solid 4-drop, so the fact you can run this out late and get this punisher trigger twice is pretty sweet."
Thought-Stalker Warlock,4.1,4,"Even if you can't do damage to your opponent, a three mana 2/2 menace that makes your opponent discard is great. When you do get to choose what they discard, it'll feel downright nasty."
Valley Rotcaller,4.6,3.5,"Your board is likely to have many creatures with these types, so it's likely to be a powerful attack trigger."
"Wick, the Whorled Mind",4,4.5,"The baseline is a 4-mana 2/4 that makes a 1/1, and that Snail is likely to grow! You should try to splash for the activated ability too, since it draw you tons of cards and even finish off your opponent."
Wick's Patrol,4,4,"This is a 6-mana 5/3 that kills a creature, and it'll often kill a substantial creature. The mill trigger is nice too, as it not only makes the Patrol more likely to kill something good, it also sets up Forage and Threshold."
